Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
"09312 Revilla y Ahedo, La",55.0,95.0,54.6,36.8,97.9,8.4,1.7,,,34406.0,19531.0,28934.0,16425.0,,
09314 Revilla del Campo,56.9,102.0,55.6,41.2,96.1,4.9,1.9,23052.0,21350.0,39045.0,20671.0,32981.0,17461.0,2.4,27.1
09315 Revillarruz,39.0,626.0,38.0,8.5,89.6,21.9,2.4,22967.0,21350.0,45327.0,19301.0,37057.0,15779.0,2.1,24.5
09316 Revilla Vallejera,53.2,121.0,42.6,35.5,90.9,9.1,2.2,23457.0,19950.0,43364.0,19152.0,35367.0,15620.0,3.6,36.2
09317 Rezmondo,66.7,19.0,30.0,57.9,100.0,0.0,1.9,,,43630.0,19440.0,36206.0,16132.0,,
09318 Riocavado de la Sierra,66.0,54.0,63.9,59.3,100.0,3.7,1.5,,,34406.0,19531.0,28934.0,16425.0,,
09321 Roa,46.4,2248.0,33.2,23.7,78.1,15.5,2.4,17838.0,16450.0,34727.0,14324.0,29683.0,12244.0,2.8,30.7
09323 Rojas,59.0,59.0,63.6,40.7,98.3,3.4,1.8,,,36356.0,18880.0,30486.0,15831.0,,
09325 Royuela de Río Franco,64.4,175.0,55.0,53.7,97.7,1.7,1.8,20921.0,17150.0,31366.0,17846.0,27350.0,15561.0,2.4,30.9
09326 Rubena,44.1,202.0,42.1,15.8,98.0,14.4,2.3,25528.0,22050.0,47857.0,20578.0,38344.0,16488.0,2.5,32.6
09327 Rublacedo de Abajo,54.1,32.0,65.0,31.3,93.8,9.4,1.6,,,36356.0,18880.0,30486.0,15831.0,,
09328 Rucandio,62.7,69.0,61.7,50.7,100.0,0.0,1.5,,,36356.0,18880.0,30486.0,15831.0,,
09329 Salas de Bureba,50.5,135.0,56.5,24.4,88.9,8.2,2.0,19606.0,17500.0,32841.0,16293.0,28014.0,13898.0,2.7,30.4
09330 Salas de los Infantes,47.9,1950.0,37.5,26.5,83.4,13.9,2.3,19351.0,17850.0,37349.0,15911.0,31542.0,13437.0,2.6,30.5
09332 Saldaña de Burgos,42.6,204.0,40.7,16.7,84.3,15.7,2.2,21148.0,20650.0,41983.0,18613.0,33228.0,14732.0,2.5,27.8
09334 Salinillas de Bureba,55.3,48.0,48.0,31.3,100.0,2.1,1.9,,,36356.0,18880.0,30486.0,15831.0,,
09335 San Adrián de Juarros,54.0,78.0,63.5,28.2,100.0,3.9,1.5,,,37811.0,20462.0,31727.0,17169.0,,
09337 San Juan del Monte,48.3,142.0,50.7,23.2,85.9,13.4,2.0,17519.0,15050.0,31589.0,15569.0,26881.0,13248.0,2.1,27.6
09338 San Mamés de Burgos,43.3,298.0,39.7,13.8,95.6,16.1,2.3,20192.0,19250.0,39549.0,17386.0,32816.0,14426.0,2.4,27.6
09339 San Martín de Rubiales,57.5,145.0,34.3,40.0,85.5,4.8,2.2,18386.0,16450.0,33070.0,15281.0,28976.0,13389.0,2.2,25.4
09340 San Millán de Lara,61.6,64.0,59.0,43.8,98.4,0.0,1.6,,,34406.0,19531.0,28934.0,16425.0,,
09343 Santa Cecilia,53.4,105.0,45.8,37.1,94.3,7.6,2.2,21865.0,19250.0,38127.0,17430.0,32427.0,14824.0,2.3,32.3
09345 Santa Cruz de la Salceda,51.1,139.0,58.0,30.2,84.9,7.9,2.0,21283.0,18550.0,35429.0,17326.0,30489.0,14911.0,3.3,29.7
09346 Santa Cruz del Valle Urbión,56.1,101.0,58.6,32.7,99.0,6.9,1.7,20779.0,19250.0,32248.0,18519.0,26774.0,15375.0,2.6,30.1
09347 Santa Gadea del Cid,51.5,164.0,38.0,31.1,92.7,7.3,2.3,21646.0,19950.0,40729.0,17641.0,34494.0,14940.0,2.2,26.0
09348 Santa Inés,54.8,154.0,35.7,38.3,90.9,5.8,2.2,18193.0,16450.0,33204.0,14974.0,28598.0,12897.0,2.4,27.2
09350 Santa María del Campo,52.7,505.0,44.4,33.9,84.6,9.3,2.1,21733.0,19950.0,38967.0,18630.0,32144.0,15368.0,2.6,27.7
09351 Santa María del Invierno,59.2,64.0,66.7,43.8,100.0,1.6,1.6,,,36356.0,18880.0,30486.0,15831.0,,
09352 Santa María del Mercadillo,63.5,101.0,66.1,44.6,99.0,0.0,1.6,21036.0,19250.0,31909.0,19339.0,26733.0,16202.0,2.1,25.2
09353 Santa María Ribarredonda,54.9,91.0,47.8,35.2,87.9,4.4,2.0,,,36356.0,18880.0,30486.0,15831.0,,
09354 Santa Olalla de Bureba,56.3,41.0,56.0,39.0,100.0,9.8,1.6,,,36356.0,18880.0,30486.0,15831.0,,
09355 Santibáñez de Esgueva,66.9,79.0,47.5,50.6,98.7,1.3,2.0,,,39911.0,20014.0,32955.0,16526.0,,
09356 Santibáñez del Val,51.2,61.0,44.8,31.2,100.0,4.9,2.1,,,39911.0,20014.0,32955.0,16526.0,,
09358 Santo Domingo de Silos,56.6,239.0,44.6,41.4,94.1,4.6,2.2,24303.0,22750.0,43611.0,20072.0,36626.0,16857.0,2.6,31.1
09360 San Vicente del Valle,52.7,30.0,63.2,20.0,100.0,3.3,1.6,,,34406.0,19531.0,28934.0,16425.0,,
09361 Sargentes de la Lora,57.2,128.0,58.7,41.4,98.4,4.7,1.7,22308.0,19250.0,34449.0,19843.0,29021.0,16716.0,2.9,35.9
09362 Sarracín,47.2,262.0,27.1,22.5,98.1,14.9,2.7,23142.0,22750.0,51609.0,18910.0,41937.0,15366.0,2.0,26.3
09363 Sasamón,56.1,935.0,43.3,37.7,97.8,6.0,2.0,22341.0,20650.0,39081.0,19268.0,32500.0,16024.0,2.2,25.4
"09365 Sequera de Haza, La",55.8,28.0,35.7,35.7,100.0,7.1,2.0,,,37671.0,17343.0,32022.0,14742.0,,
09366 Solarana,60.9,74.0,30.6,44.6,96.0,0.0,2.1,,,39911.0,20014.0,32955.0,16526.0,,
09368 Sordillos,72.4,21.0,61.5,76.2,100.0,0.0,1.6,,,43630.0,19440.0,36206.0,16132.0,,
09369 Sotillo de la Ribera,50.1,478.0,42.4,29.5,92.1,10.7,2.3,20805.0,19250.0,38857.0,16980.0,32868.0,14363.0,2.5,26.6
09372 Sotragero,41.3,296.0,29.8,11.8,98.0,18.2,2.5,23284.0,21350.0,47450.0,19302.0,38556.0,15684.0,2.0,24.2
09373 Sotresgudo,58.0,428.0,48.1,38.3,97.4,5.4,2.0,21891.0,19250.0,37096.0,18198.0,31266.0,15338.0,2.9,31.0
09374 Susinos del Páramo,49.6,117.0,29.6,25.6,100.0,11.1,2.7,29373.0,27650.0,64971.0,24433.0,52167.0,19618.0,2.0,21.2
09375 Tamarón,50.2,59.0,31.8,22.0,94.9,1.7,2.7,,,43630.0,19440.0,36206.0,16132.0,,
09377 Tardajos,44.0,771.0,31.1,20.0,95.6,17.4,2.5,21435.0,19950.0,44276.0,17573.0,36716.0,14572.0,2.1,23.5
09378 Tejada,49.8,34.0,43.8,20.6,97.1,0.0,2.1,,,39911.0,20014.0,32955.0,16526.0,,
09380 Terradillos de Esgueva,59.3,67.0,45.2,49.3,94.0,1.5,2.2,,,37671.0,17343.0,32022.0,14742.0,,
09381 Tinieblas de la Sierra,70.2,27.0,81.8,66.7,92.6,0.0,1.2,,,34406.0,19531.0,28934.0,16425.0,,
09382 Tobar,58.6,25.0,46.7,44.0,100.0,0.0,1.7,,,43630.0,19440.0,36206.0,16132.0,,
09384 Tordómar,52.6,309.0,42.7,30.7,93.2,8.1,2.2,21188.0,18550.0,35966.0,16563.0,30857.0,14211.0,2.4,29.8
09386 Torrecilla del Monte,47.2,69.0,54.6,24.6,97.1,17.4,2.1,,,39911.0,20014.0,32955.0,16526.0,,
09387 Torregalindo,50.2,119.0,38.8,33.6,89.9,13.5,2.4,23130.0,21350.0,45773.0,18619.0,38589.0,15697.0,2.2,24.8
09388 Torrelara,52.2,33.0,61.1,27.3,100.0,3.0,1.8,,,34406.0,19531.0,28934.0,16425.0,,
09389 Torrepadre,63.5,69.0,61.9,50.7,95.7,1.5,1.6,,,39911.0,20014.0,32955.0,16526.0,,
09390 Torresandino,55.2,566.0,32.7,33.9,95.4,5.8,2.6,24039.0,23450.0,50702.0,18837.0,42835.0,15914.0,2.3,25.6
09391 Tórtoles de Esgueva,54.6,404.0,43.4,35.2,81.2,8.2,2.2,18867.0,18550.0,34774.0,15523.0,29468.0,13154.0,3.2,31.6
09392 Tosantos,55.7,53.0,28.6,34.0,98.1,5.7,2.5,,,36356.0,18880.0,30486.0,15831.0,,
09394 Trespaderne,53.9,732.0,44.5,32.8,92.5,9.3,2.0,18626.0,16450.0,32428.0,16034.0,27155.0,13427.0,2.5,30.3
09395 Tubilla del Agua,55.9,140.0,67.4,33.6,95.7,3.6,1.6,22957.0,19950.0,35155.0,22349.0,28708.0,18250.0,3.1,37.3
09396 Tubilla del Lago,54.5,168.0,40.7,36.9,90.5,6.6,2.1,18173.0,17150.0,30897.0,14793.0,26382.0,12631.0,2.9,30.8
09398 Úrbel del Castillo,58.7,62.0,57.1,41.9,100.0,0.0,1.8,,,,,,,,
09400 Vadocondes,49.2,372.0,35.1,29.6,95.4,14.5,2.5,19982.0,18550.0,38966.0,15734.0,33226.0,13416.0,2.5,27.1
09403 Valdeande,56.9,101.0,66.7,39.6,95.1,4.0,1.8,25966.0,26250.0,40857.0,23058.0,33640.0,18985.0,3.1,30.4
09405 Valdezate,59.2,119.0,39.3,43.7,99.2,4.2,2.1,20856.0,17850.0,37655.0,17720.0,31637.0,14888.0,2.3,29.8
09406 Valdorros,42.4,347.0,42.8,13.5,91.6,16.4,2.1,20859.0,19950.0,37601.0,17931.0,31320.0,14936.0,2.5,26.5
09407 Valmala,60.3,27.0,73.7,33.3,96.3,0.0,1.4,,,34406.0,19531.0,28934.0,16425.0,,
09408 Vallarta de Bureba,59.9,42.0,50.0,42.9,97.6,0.0,2.3,,,36356.0,18880.0,30486.0,15831.0,,
09409 Valle de Manzanedo,56.3,127.0,50.8,37.0,95.3,6.3,1.9,16800.0,15750.0,28318.0,14647.0,24409.0,12625.0,3.1,30.2
09410 Valle de Mena,46.3,3995.0,39.1,22.2,91.1,15.3,2.2,17728.0,16450.0,32373.0,14541.0,26896.0,12081.0,2.8,32.0
09411 Valle de Oca,52.4,165.0,41.1,32.1,92.1,5.5,2.3,22677.0,20650.0,43220.0,18675.0,35639.0,15400.0,4.2,41.3
09412 Valle de Tobalina,53.2,850.0,51.3,34.0,93.1,9.8,1.9,19481.0,17150.0,32033.0,16302.0,27203.0,13844.0,2.9,33.9
09413 Valle de Valdebezana,52.2,474.0,54.5,29.8,93.5,11.0,1.9,16892.0,14350.0,28026.0,14254.0,24054.0,12233.0,2.8,33.9
09414 Valle de Valdelaguna,58.5,196.0,48.4,41.8,95.9,6.6,2.1,23731.0,23800.0,44211.0,20738.0,35121.0,16474.0,1.9,21.6
09415 Valle de Valdelucio,53.5,326.0,36.6,32.8,94.2,8.0,2.3,21305.0,19950.0,38204.0,16861.0,32744.0,14452.0,2.7,26.9
09416 Valle de Zamanzas,50.5,49.0,69.0,28.6,98.0,8.2,1.7,,,30004.0,15811.0,25239.0,13300.0,,
09417 Vallejera,60.5,41.0,52.6,43.9,100.0,2.4,2.2,,,43630.0,19440.0,36206.0,16132.0,,
09418 Valles de Palenzuela,53.8,80.0,35.3,28.8,91.3,6.3,2.4,,,43630.0,19440.0,36206.0,16132.0,,
09419 Valluércanes,60.6,67.0,51.4,35.8,94.0,1.5,1.8,,,36356.0,18880.0,30486.0,15831.0,,
"09421 Vid y Barrios, La",55.0,262.0,42.6,35.9,96.6,7.6,2.0,20185.0,20300.0,34909.0,17052.0,29844.0,14578.0,2.1,27.0
"09422 Vid de Bureba, La",55.4,24.0,36.4,50.0,95.8,8.3,2.2,,,36356.0,18880.0,30486.0,15831.0,,
09423 Vileña,63.4,26.0,80.0,34.6,100.0,0.0,1.3,,,36356.0,18880.0,30486.0,15831.0,,
09424 Viloria de Rioja,58.3,37.0,57.9,43.2,91.9,8.1,1.9,,,36356.0,18880.0,30486.0,15831.0,,
09425 Vilviestre del Pinar,57.2,508.0,41.3,39.6,97.4,4.1,2.1,20451.0,17850.0,37108.0,17601.0,30934.0,14672.0,2.7,29.3
09427 Villadiego,54.1,1463.0,47.1,34.9,93.8,7.9,2.0,21923.0,19250.0,39028.0,18766.0,32572.0,15662.0,2.6,30.8
09428 Villaescusa de Roa,56.4,99.0,51.9,43.4,95.0,6.1,1.8,,,37671.0,17343.0,32022.0,14742.0,,
09429 Villaescusa la Sombría,56.3,54.0,44.8,42.6,88.9,1.9,1.9,,,36356.0,18880.0,30486.0,15831.0,,
09430 Villaespasa,62.1,26.0,56.3,53.9,92.3,3.9,1.6,,,34406.0,19531.0,28934.0,16425.0,,
09431 Villafranca Montes de Oca,58.1,118.0,56.7,44.9,97.5,3.4,1.8,25002.0,22750.0,39651.0,22367.0,32696.0,18444.0,2.6,29.6
09432 Villafruela,59.9,146.0,48.1,37.7,100.0,4.1,1.9,17463.0,15050.0,26995.0,14237.0,23998.0,12656.0,2.2,29.2
09433 Villagalijo,59.3,56.0,60.0,42.9,100.0,5.4,1.6,,,34406.0,19531.0,28934.0,16425.0,,
09434 Villagonzalo Pedernales,38.3,1872.0,19.0,10.8,92.8,24.4,2.9,22256.0,20650.0,49754.0,17288.0,40713.0,14147.0,2.1,24.4
09437 Villahoz,56.1,286.0,49.3,38.8,92.7,5.2,2.0,21953.0,19950.0,39049.0,18975.0,32818.0,15947.0,2.7,28.9
09438 Villalba de Duero,46.4,695.0,22.1,19.9,94.0,14.4,2.8,24787.0,23450.0,55554.0,20180.0,45128.0,16393.0,2.3,25.3
09439 Villalbilla de Burgos,38.7,1490.0,31.4,10.1,92.6,21.7,2.5,22756.0,21350.0,46228.0,18528.0,37827.0,15162.0,2.1,25.4
09440 Villalbilla de Gumiel,56.7,89.0,52.3,39.3,85.4,9.0,2.0,,,37671.0,17343.0,32022.0,14742.0,,
09441 Villaldemiro,51.8,90.0,33.3,30.0,98.9,6.7,2.7,,,43630.0,19440.0,36206.0,16132.0,,
09442 Villalmanzo,52.2,423.0,40.5,32.4,93.4,7.6,2.2,20571.0,18550.0,37390.0,17305.0,31698.0,14671.0,2.3,25.0
09443 Villamayor de los Montes,55.0,150.0,55.7,34.0,96.7,6.0,1.9,23307.0,22050.0,42113.0,20403.0,35127.0,17018.0,2.4,27.9
09444 Villamayor de Treviño,62.5,59.0,51.6,50.9,100.0,1.7,1.9,,,43630.0,19440.0,36206.0,16132.0,,
09445 Villambistia,61.4,47.0,66.7,53.2,100.0,2.1,1.4,,,36356.0,18880.0,30486.0,15831.0,,
09446 Villamedianilla,60.0,9.0,50.0,33.3,100.0,0.0,2.3,,,43630.0,19440.0,36206.0,16132.0,,
09447 Villamiel de la Sierra,64.0,42.0,35.0,47.6,100.0,2.4,2.1,,,37811.0,20462.0,31727.0,17169.0,,
09448 Villangómez,57.9,225.0,47.0,38.7,92.4,2.2,2.0,24281.0,22050.0,43540.0,22063.0,34725.0,17596.0,3.1,31.7
09449 Villanueva de Argaño,50.6,119.0,28.3,36.1,91.6,14.3,2.6,25209.0,23450.0,53106.0,20528.0,43792.0,16928.0,2.9,29.2
09450 Villanueva de Carazo,59.8,27.0,65.0,44.4,96.3,3.7,1.4,,,34406.0,19531.0,28934.0,16425.0,,
09451 Villanueva de Gumiel,50.4,283.0,33.6,30.7,91.5,8.1,2.3,21523.0,21350.0,40024.0,17599.0,33753.0,14842.0,2.2,22.5
09454 Villanueva de Teba,57.4,45.0,43.5,33.3,95.6,2.2,2.0,,,36356.0,18880.0,30486.0,15831.0,,
09455 Villaquirán de la Puebla,58.0,44.0,45.0,34.1,95.5,0.0,2.2,,,43630.0,19440.0,36206.0,16132.0,,
09456 Villaquirán de los Infantes,55.5,149.0,42.4,34.2,89.3,7.4,2.3,22867.0,19250.0,43204.0,19202.0,35828.0,15924.0,2.7,31.3
09458 Villariezo,39.2,722.0,31.3,11.2,96.5,22.9,2.5,23366.0,22050.0,48347.0,19486.0,39304.0,15842.0,2.0,23.0
09460 Villasandino,58.0,178.0,39.8,44.9,97.8,5.1,2.1,21509.0,19950.0,39668.0,18256.0,33458.0,15398.0,2.8,29.9
09463 Villasur de Herreros,53.6,274.0,49.6,34.3,94.9,5.8,2.1,22326.0,22750.0,40100.0,18802.0,33856.0,15874.0,2.4,25.7
09464 Villatuelda,49.6,53.0,48.0,32.1,77.4,17.0,2.1,,,37671.0,17343.0,32022.0,14742.0,,
09466 Villaverde del Monte,63.1,114.0,67.1,50.9,98.3,2.6,1.5,20341.0,19950.0,28876.0,19251.0,24820.0,16547.0,2.2,24.1
09467 Villaverde-Mogina,53.0,73.0,37.5,31.5,79.5,4.1,2.3,,,43630.0,19440.0,36206.0,16132.0,,
09471 Villayerno Morquillas,44.1,196.0,25.4,20.9,95.4,18.4,2.8,22067.0,19950.0,47222.0,17039.0,38965.0,14060.0,2.4,26.9
09472 Villazopeque,57.5,32.0,30.0,37.5,100.0,3.1,3.2,,,43630.0,19440.0,36206.0,16132.0,,
09473 Villegas,58.4,84.0,47.2,36.9,100.0,0.0,2.3,,,43630.0,19440.0,36206.0,16132.0,,
09476 Villoruebo,57.8,69.0,51.5,37.7,100.0,4.4,2.1,,,34406.0,19531.0,28934.0,16425.0,,
09478 Vizcaínos,59.6,36.0,50.0,47.2,100.0,2.8,1.8,,,34406.0,19531.0,28934.0,16425.0,,
09480 Zael,58.0,116.0,43.6,43.1,99.1,1.7,2.1,21825.0,22050.0,37560.0,17809.0,31635.0,14999.0,2.2,24.5
09482 Zarzosa de Río Pisuerga,65.7,31.0,56.3,61.3,100.0,0.0,1.9,,,43630.0,19440.0,36206.0,16132.0,,
09483 Zazuar,51.5,207.0,41.2,30.0,95.2,9.2,2.1,21138.0,19950.0,38682.0,18090.0,32436.0,15169.0,2.4,24.0
09485 Zuñeda,60.6,57.0,13.6,42.1,98.3,1.8,2.6,,,36356.0,18880.0,30486.0,15831.0,,
09901 Quintanilla del Agua y Tordueles,57.9,348.0,49.2,39.7,91.4,5.5,1.9,17742.0,15750.0,28803.0,15367.0,25001.0,13339.0,2.2,26.4
09902 Valle de Santibáñez,53.1,487.0,46.7,31.2,97.1,7.2,2.0,22646.0,21350.0,39406.0,19621.0,33144.0,16503.0,2.3,26.5
09903 Villarcayo de Merindad de Castilla la Vieja,48.0,3988.0,41.3,24.7,88.3,13.8,2.1,18524.0,16450.0,32614.0,15362.0,27332.0,12874.0,2.5,29.6
09904 Valle de las Navas,52.5,548.0,51.9,27.7,97.5,8.2,1.9,23955.0,22050.0,40554.0,21470.0,33380.0,17672.0,2.4,27.5
09905 Valle de Sedano,51.0,157.0,52.1,26.1,91.1,8.3,2.1,20267.0,19950.0,41599.0,16466.0,34766.0,13762.0,2.9,30.4
09906 Merindad de Río Ubierna,48.0,1416.0,36.9,24.7,94.7,12.6,2.3,24747.0,23450.0,48548.0,20956.0,39413.0,17013.0,2.3,26.6
09907 Alfoz de Quintanadueñas,38.2,2160.0,24.2,11.1,94.8,23.2,2.7,21744.0,20650.0,46271.0,17004.0,38195.0,14036.0,2.1,23.9
09908 Valle de Losa,53.2,502.0,45.6,29.7,94.8,7.6,1.9,15824.0,15050.0,26149.0,13074.0,22522.0,11261.0,3.0,33.3
10001 Abadía,48.7,339.0,34.4,31.0,98.2,13.3,2.2,15315.0,13650.0,26457.0,11976.0,23813.0,10779.0,1.9,22.9
10002 Abertura,52.1,377.0,48.8,30.0,97.9,7.7,1.8,14099.0,12950.0,21587.0,11659.0,19676.0,10627.0,2.4,25.6
10003 Acebo,54.6,587.0,50.0,37.0,96.9,8.0,1.8,14414.0,12250.0,22033.0,11949.0,19791.0,10733.0,2.6,37.7
10004 Acehúche,46.5,800.0,35.1,26.4,99.9,16.4,2.2,13492.0,12250.0,23447.0,10698.0,21040.0,9600.0,2.2,26.1
10005 Aceituna,48.6,584.0,36.4,29.8,98.5,13.4,2.1,13548.0,12950.0,22078.0,10376.0,20443.0,9608.0,2.0,22.3
10006 Ahigal,50.8,1368.0,42.5,32.1,98.5,10.9,1.9,13261.0,12950.0,20574.0,10567.0,18985.0,9751.0,2.1,25.8
10007 Albalá,53.0,659.0,50.3,31.6,97.0,7.0,1.9,17972.0,15050.0,28563.0,15414.0,24672.0,13314.0,2.7,32.2
10008 Alcántara,51.4,1301.0,40.9,29.8,97.7,10.6,2.1,18450.0,15750.0,32671.0,15269.0,27777.0,12981.0,2.2,27.5
10009 Alcollarín,54.4,252.0,44.4,36.1,97.2,7.1,2.0,13892.0,12950.0,22546.0,11043.0,20648.0,10113.0,2.5,25.4
10010 Alcuéscar,47.2,2341.0,36.4,24.6,97.6,12.5,2.2,14263.0,13650.0,24442.0,11059.0,22072.0,9987.0,2.2,25.9
10011 Aldeacentenera,50.3,585.0,42.1,27.9,95.2,10.1,2.0,15335.0,13650.0,25972.0,12345.0,22994.0,10929.0,2.4,28.5
10012 Aldea del Cano,50.1,575.0,41.1,26.4,98.4,9.9,2.1,16659.0,15050.0,27904.0,13345.0,24375.0,11658.0,2.3,28.5
"10013 Aldea del Obispo, La",53.1,294.0,39.5,32.3,92.2,8.8,2.0,12774.0,11550.0,19890.0,9876.0,18143.0,9009.0,2.1,24.9
10014 Aldeanueva de la Vera,49.5,2013.0,38.3,27.8,97.1,11.4,2.1,14752.0,13650.0,24827.0,11716.0,22262.0,10506.0,2.0,25.0
10015 Aldeanueva del Camino,51.4,725.0,47.9,31.2,96.4,11.6,1.9,16206.0,13650.0,25875.0,13534.0,22131.0,11576.0,2.3,30.8
10016 Aldehuela de Jerte,48.5,361.0,30.9,27.4,99.7,12.7,2.4,16551.0,15050.0,30592.0,12881.0,26938.0,11342.0,1.8,23.1
10017 Alía,54.6,756.0,48.8,36.9,96.8,7.1,1.8,14525.0,13650.0,23157.0,12465.0,20501.0,11035.0,1.9,25.7
10018 Aliseda,49.6,1711.0,37.4,27.1,99.5,11.2,2.1,13803.0,12950.0,22892.0,10955.0,20702.0,9907.0,2.0,22.9
10019 Almaraz,44.0,1623.0,27.6,20.5,94.0,16.3,2.6,23618.0,20650.0,50862.0,19100.0,41253.0,15492.0,2.3,29.3
10020 Almoharín,48.2,1804.0,32.1,25.8,97.9,12.5,2.3,15254.0,13650.0,27158.0,11685.0,24366.0,10484.0,2.0,25.0
10021 Arroyo de la Luz,47.4,5526.0,30.8,23.9,98.6,13.0,2.3,15398.0,14350.0,28013.0,11999.0,24643.0,10556.0,2.2,25.3
10022 Arroyomolinos de la Vera,55.1,408.0,50.2,35.8,98.0,5.6,1.9,14874.0,13650.0,24606.0,12774.0,21674.0,11252.0,2.1,28.2
10023 Arroyomolinos,51.3,824.0,41.9,30.3,98.7,8.1,2.1,15087.0,13650.0,25306.0,12104.0,22642.0,10830.0,2.0,23.8
10024 Baños de Montemayor,51.3,719.0,42.3,32.3,97.6,11.4,2.0,17359.0,15750.0,28607.0,14123.0,24929.0,12307.0,2.1,26.3
10025 Barrado,52.4,380.0,41.6,30.5,98.4,8.7,2.0,13971.0,12250.0,23421.0,11402.0,20783.0,10118.0,2.0,28.7
10026 Belvís de Monroy,47.9,699.0,42.9,26.0,97.4,12.5,2.0,19738.0,16450.0,34627.0,17013.0,28664.0,14083.0,2.7,31.1
10027 Benquerencia,59.8,86.0,43.5,43.0,97.7,3.5,1.9,,,,,,,,
10028 Berrocalejo,52.9,122.0,47.6,38.5,84.4,7.4,1.9,14746.0,12950.0,24554.0,12489.0,21378.0,10873.0,2.3,30.4
10029 Berzocana,55.5,396.0,41.8,38.1,94.4,7.1,1.9,15425.0,14350.0,24733.0,12751.0,22053.0,11369.0,2.2,27.8
10030 Bohonal de Ibor,57.2,480.0,47.3,44.0,97.7,8.3,1.9,15362.0,14350.0,24059.0,12403.0,21798.0,11237.0,2.2,24.5
10031 Botija,50.2,184.0,46.4,27.7,93.5,9.2,1.9,15913.0,15750.0,24422.0,12897.0,21794.0,11509.0,2.2,26.6
10032 Brozas,50.6,1725.0,34.3,30.8,99.3,11.9,2.3,15325.0,13650.0,27498.0,12111.0,24119.0,10623.0,2.2,27.5
10033 Cabañas del Castillo,57.0,398.0,54.7,40.2,98.7,7.5,1.7,14605.0,12950.0,21375.0,12650.0,19046.0,11272.0,2.2,27.1
10034 Cabezabellosa,59.1,343.0,48.2,44.0,99.7,3.5,1.8,14606.0,13650.0,21686.0,12119.0,19818.0,11075.0,2.3,26.4
10035 Cabezuela del Valle,47.0,2181.0,38.7,25.8,96.6,14.5,2.1,13150.0,12250.0,21863.0,10299.0,19926.0,9387.0,2.0,27.2
10036 Cabrero,53.5,344.0,47.3,30.8,97.7,8.1,1.8,11753.0,10850.0,16781.0,9081.0,15788.0,8544.0,2.3,27.7
10037 Cáceres,43.6,95572.0,32.0,19.0,96.7,17.0,2.4,20655.0,18550.0,41138.0,17111.0,33651.0,13997.0,2.7,29.9
10038 Cachorrilla,54.8,91.0,36.4,39.6,98.9,7.7,2.1,,,,,,,,
10039 Cadalso,55.3,419.0,43.0,36.0,98.1,5.0,1.9,13354.0,12250.0,20945.0,11005.0,19099.0,10035.0,1.9,25.4
10040 Calzadilla,52.3,460.0,43.0,35.9,99.6,9.4,1.9,15368.0,13650.0,24583.0,12587.0,22081.0,11306.0,1.9,23.9
10041 Caminomorisco,49.8,1118.0,41.9,29.3,98.1,12.5,2.1,14712.0,13650.0,24999.0,11757.0,22288.0,10482.0,2.4,27.8
10042 Campillo de Deleitosa,62.8,83.0,54.0,55.4,96.4,4.8,1.7,,,,,,,,
10043 Campo Lugar,49.4,837.0,35.6,29.0,96.1,10.4,2.1,15361.0,14350.0,26111.0,12208.0,22835.0,10676.0,2.1,26.3
10044 Cañamero,48.5,1621.0,37.5,26.5,98.0,13.3,2.1,13782.0,12950.0,23329.0,10905.0,20896.0,9768.0,2.1,25.7
10045 Cañaveral,52.5,1019.0,42.1,33.5,98.6,9.1,2.0,15721.0,14350.0,25413.0,12884.0,22601.0,11458.0,2.4,28.0
10046 Carbajo,55.9,178.0,46.2,34.3,98.9,9.0,2.0,17927.0,15050.0,28061.0,14346.0,24998.0,12780.0,2.1,27.1
10047 Carcaboso,46.9,1082.0,34.0,23.3,98.2,14.1,2.2,16105.0,14350.0,28172.0,12870.0,24536.0,11209.0,2.0,24.6
10048 Carrascalejo,62.5,205.0,58.1,54.6,95.1,2.9,1.6,17899.0,14350.0,27171.0,16329.0,23216.0,13953.0,2.5,30.2
10049 Casar de Cáceres,44.1,4403.0,28.0,19.6,98.0,15.7,2.4,16422.0,15050.0,31632.0,12934.0,27291.0,11160.0,2.1,26.4
10050 Casar de Palomero,55.5,1022.0,42.2,40.7,96.8,9.7,2.0,15392.0,12950.0,25073.0,12710.0,22308.0,11308.0,2.3,31.4
10051 Casares de las Hurdes,61.4,412.0,42.7,51.0,99.3,1.9,1.9,17910.0,17150.0,28125.0,14729.0,25216.0,13205.0,2.1,24.2
10052 Casas de Don Antonio,54.1,190.0,50.6,35.8,97.9,8.4,2.2,18405.0,17850.0,32925.0,14633.0,28572.0,12698.0,2.0,22.9
10053 Casas de Don Gómez,50.8,307.0,44.5,31.6,98.1,10.8,2.0,12676.0,11550.0,20371.0,10219.0,18520.0,9290.0,2.7,31.5
10054 Casas del Castañar,52.3,582.0,55.5,29.9,97.3,8.1,1.8,15264.0,12950.0,22680.0,12903.0,19864.0,11301.0,2.4,29.6
